Gene,n_en_student_p_value,en_c_student_p_value,n_en_permutation_p_value,en_c_permutation_p_value
MRPL20,0.24659751518381656,0.0038435016684453967,0.2404,0.0031
LOC441869,0.22295965078712265,0.1614005947672258,0.2256,0.1654
VWA1,0.00978137990361679,0.15443256413015002,0.0116,0.1524
ATAD3C,0.48781243826896614,0.393084070004334,0.4842,0.3924
ATAD3B,0.17589043756058292,0.5733620022270154,0.1812,0.5846
ATAD3A,0.42859885147200927,0.2434382770734266,0.4382,0.2408
C1orf70,0.3989524155353815,0.00365372666113164,0.4103,0.0038
SSU72,0.9696088796030541,0.0467040132512856,0.9696,0.0519
LOC643988,0.6990003405102847,0.013945618282041826,0.6982,0.0118
MIB2,0.09563016254395694,0.0420196391081339,0.0971,0.0422
CDK11B,0.46518044880438714,0.6287441387081736,0.461,0.6216
SLC35E2B,0.10560768297930029,0.7395659227230917,0.11,0.7425
CDK11A,0.32211865898675673,0.6391434780705523,0.3238,0.6492
SLC35E2,0.4188586613380645,0.7488152263456975,0.4121,0.7517
NADK,0.45806503384691544,0.005655794904098004,0.4568,0.0044
GNB1,0.6940459678446833,0.001154857967983907,0.6936,0.0015
CALML6,0.022970133954575693,0.0988153061116561,0.023,0.0949
TMEM52,0.00818825328659774,0.25956611562847914,0.0076,0.2604
GABRD,0.003017030800174695,2.2760428103855066e-07,0.0044,0.0001
PRKCZ,0.056436128845656526,0.45948127805926886,0.0559,0.4581
C1orf86,0.36168086840125435,0.7260958872041747,0.3654,0.7245
SKI,0.5082453345042026,0.5886123761308695,0.5007,0.5916
MORN1,0.4144034149536786,0.30534576465164104,0.4083,0.2966
RER1,0.49286909947874036,0.25759959990599046,0.489,0.2651
PEX10,0.9987093119657867,0.17681258401299144,0.9988,0.1831
PLCH2,0.5740376251751063,0.0005973955772256407,0.5789,0.0006
PANK4,0.6893796666383197,0.9668988916688839,0.6912,0.9679
HES5,0.7583573531721285,0.6083437998907011,0.7623,0.5983
LOC115110,0.08408290106039108,0.6680266713089411,0.085,0.672
TNFRSF14,0.482622778017468,0.9753301393589173,0.489,0.9761
LOC100133445,0.33470688227566314,0.1926718586811409,0.3319,0.1901
C1orf93,0.6917668575977285,0.0009722201967592903,0.6858,0.0002
MMEL1,0.010962222140185152,0.422616193918523,0.0122,0.4131
FLJ42875,0.7832697659739764,0.8681283636700986,0.7959,0.8648
PRDM16,0.7260801302871995,0.33316731025046653,0.7293,0.3459
ARHGEF16,3.853561685734459e-05,0.5189751088770523,0.0001,0.5273
MEGF6,0.39321709984603026,0.2506678839417474,0.4101,0.2569
TPRG1L,0.4946295753458281,0.778277856422027,0.4917,0.7875
WRAP73,0.5234825350998247,0.020299814797315498,0.5363,0.0202
TP73,0.8685943942575416,0.9501836915207273,0.8668,0.9472
TP73-AS1,0.9465987061580755,0.21107469824224354,0.9498,0.2122
LOC388588,0.17273393306636833,0.6385074977022527,0.1718,0.6435
LRRC47,0.11034264153006317,0.22064676938444422,0.107,0.2144
CEP104,0.009783549826758864,0.08268431571407066,0.0089,0.0812
DFFB,0.921269853755735,0.11652182035132895,0.9274,0.1216
C1orf174,0.9783968999426484,0.31239538514991405,0.9771,0.3104
